132.00, 130.00, 136.57
136.00, 130.00, 136.39
139.00, 130.00, 136.12
138.00, 130.00, 135.88
141.00, 130.00, 137.80
135.00, 130.00, 137.65
135.00, 130.00, 137.50
140.00, 130.00, 137.20
142.00, 130.00, 136.84
138.00, 130.00, 136.60
134.00, 130.00, 136.48
137.00, 130.00, 136.27
142.00, 130.00, 135.91
141.00, 130.00, 135.58
136.00, 130.00, 135.40
135.00, 130.00, 135.25
140.00, 130.00, 134.95
143.00, 130.00, 134.56
139.00, 130.00, 134.29
135.00, 130.00, 134.14
137.00, 130.00, 133.93
142.00, 130.00, 133.57
141.00, 130.00, 133.24
136.00, 130.00, 133.06
134.00, 130.00, 132.94
139.00, 130.00, 132.67
142.00, 130.00, 132.31
138.00, 130.00, 132.07
134.00, 130.00, 131.95
135.00, 130.00, 131.80
141.00, 130.00, 131.47
140.00, 130.00, 131.17
135.00, 130.00, 131.02
130.00, 130.00, 131.02
125.00, 130.00, 131.17
122.00, 130.00, 131.41
125.00, 130.00, 131.56
129.00, 130.00, 131.59
127.00, 130.00, 131.68
122.00, 130.00, 131.92
122.00, 130.00, 132.16
127.00, 130.00, 132.25
120.00, 130.00, 130.87
125.00, 130.00, 131.02
125.00, 130.00, 131.17
121.00, 130.00, 131.44
120.00, 130.00, 131.74
123.00, 130.00, 131.95
127.00, 130.00, 132.04
125.00, 130.00, 132.19
121.00, 130.00, 132.46
122.00, 130.00, 132.70
127.00, 130.00, 132.79
128.00, 130.00, 132.85
124.00, 130.00, 133.03
123.00, 130.00, 133.24
126.00, 130.00, 133.36
129.00, 130.00, 133.39
128.00, 130.00, 133.45
124.00, 130.00, 133.63
124.00, 130.00, 133.81
119.00, 130.00, 134.14
118.00, 130.00, 134.50
123.00, 130.00, 134.71
126.00, 130.00, 134.83
123.00, 130.00, 135.04
120.00, 130.00, 135.34
121.00, 130.00, 135.61
126.00, 130.00, 135.73
126.00, 130.00, 135.85
121.00, 130.00, 136.12
120.00, 130.00, 136.42
124.00, 130.00, 136.60
128.00, 130.00, 136.66
125.00, 130.00, 136.81
121.00, 130.00, 137.08
122.00, 130.00, 137.32
128.00, 130.00, 137.38
128.00, 130.00, 137.44
123.00, 130.00, 137.65
121.00, 130.00, 137.92
125.00, 130.00, 138.07
128.00, 130.00, 138.13
126.00, 130.00, 138.25
122.00, 130.00, 138.49
123.00, 130.00, 138.70
128.00, 130.00, 138.76
129.00, 130.00, 138.79
124.00, 130.00, 138.97
122.00, 130.00, 139.21
126.00, 130.00, 139.33
129.00, 130.00, 139.36
127.00, 130.00, 139.45
123.00, 130.00, 139.66
124.00, 130.00, 139.84
129.00, 130.00, 139.87
134.00, 130.00, 139.75
140.00, 130.00, 139.45
142.00, 130.00, 139.09
138.00, 130.00, 138.85
135.00, 130.00, 138.70
137.00, 130.00, 138.49
142.00, 130.00, 138.13
129.00, 130.00, 132.28
124.00, 130.00, 132.46
121.00, 130.00, 132.73
124.00, 130.00, 132.91
128.00, 130.00, 132.97
127.00, 130.00, 133.06
122.00, 130.00, 133.30
121.00, 130.00, 133.57
126.00, 130.00, 133.69
128.00, 130.00, 133.75
124.00, 130.00, 133.93
